NombreComercial;Total_runt
XTZ 125;40108
GPD150A(NMAX);30328
YW 125X FI;30191
FZ15D;29412
T 115 FI (CRYPTON);22980
SZ15RR;12892
YCZ 110;8924
FZ15S;8831
FZN250 CKD;8808
XTZ 150;8451
FZN250;8282
LIBERO125;7924
YW 125X;7379
YZF R15 V3;3261
XTZ 250;2721
XTZ 250A;2139
FZN250 A;1490
FZ15S (FAZER);1164
MT03;1034
GPD150(NMAX);814
MT09/ABS;653
XMAX 300;637
YZF R15 V3 ABS;327
YZF R15;277
MT09TRA;256
XT 660R;235
MT07A;120
MT03-A;92
YW 125 FI;64
XT 1200ZE;52
RAPTOR90;38
MTN1000(MT10);32
YZF R6;23
XT 1200Z;16
XSR900;13
TTR50E;12
BOLT 950;11
YZ125;9
TTR110E;8
YZF R1;6
XT 660Z;5
VIKING X3;4
TRICITY;3
WOLVERINE;3
WR 450F;3
GRIZZLY700;2
YZ250F;1
YZF R1M;1
YZF R3;1
